,position,company,min_rank,mean_rank,kws_rank,job_count
8349,Senior Tax Analyst,Pan American Silver Corp.,6,664.86,"senior (6), analyst (44), tax (221), corp (448), american (505), pan (1,321), silver (2,109)",2
8350,Â­Art and Design Instructor (Sessional Faculty),LCI Education,13,664.88,"and (13), design (154), faculty (242), education (246), instructor (289), art (934), sessional (1,443), lci (1,998)",2
8351,Civil Engineering Designer,Aplin Martin,71,665.0,"engineering (71), designer (111), civil (292), martin (1,385), aplin (1,466)",2
8352,Scientific Research & Experimental Development (SR&ED) Program Lead,WSP in Canada,11,665.12,"canada (11), development (33), lead (52), program (104), wsp (114), research (167), scientific (2,017), experimental (2,823)",4
8353,Clinical Diabetes Sales Specialist - British Columbia,Tandem Diabetes Care,15,665.25,"care (15), sales (16), specialist (24), columbia (66), british (75), clinical (79), diabetes (2,038), tandem (3,009)",2
8354,Lead Piping Designer,Fluor Corporation,52,665.4,"lead (52), designer (111), corporation (126), fluor (644), piping (2,394)",1
8355,People Generalist,Canucks Sports & Entertainment (CSE),229,665.5,"entertainment (229), sports (280), people (468), generalist (840), canucks (1,068), cse (1,108)",2
8356,Sr. Engineer - Transmission Geotechnical,BC Hydro,9,665.75,"engineer (9), hydro (542), geotechnical (1,034), transmission (1,078)",2
8357,PepsiCo Foods Business Development Sales CoOp - Fall 2025 - Surrey,PepsiCo,16,665.88,"sales (16), development (33), surrey (45), business (54), foods (212), fall (403), pepsico (985), coop (3,579)",2
8358,Architect,BGIS,223,666.0,"architect (223), bgis (1,109)",2
8359,"barista - Store# 03067, BOUNDARY RD & CANADA WAY",Starbucks,11,666.0,"canada (11), store (32), starbucks (73), barista (150), way (1,472), boundary (2,258)",2
8360,"Senior Specialist, Robotics Process Automation â Finance Focused (Bangkok Based, Relocation Provided)",Agoda,6,666.17,"senior (6), specialist (24), based (211), finance (259), process (338), automation (455), relocation (517), agoda (550), provided (551), bangkok (566), robotics (1,175), focused (3,342)",2
8361,Highway Design Engineer,Binnie,9,666.25,"engineer (9), design (154), binnie (949), highway (1,553)",2
8362,PepsiCo Beverages Seasonal Production Worker,PepsiCo,47,666.4,"worker (47), production (185), seasonal (286), pepsico (985), beverages (1,829)",2
8363,"Analyst, Valuation and Advisory Services",Colliers,7,666.5,"services (7), and (13), analyst (44), advisory (543), colliers (1,004), valuation (2,388)",2
8364,restaurant manager,777 Pizza & Donair,3,666.5,"manager (3), restaurant (130), pizza (702), donair (1,831)",2
8365,Field Service Technician,Eaton,28,666.5,"technician (28), service (38), field (128), eaton (2,472)",2
8366,LINC Instructor (Casual),DIVERSEcity Community Resources Society,35,666.57,"community (35), casual (115), resources (156), society (164), instructor (289), diversecity (583), linc (3,324)",2
8367,Product Manager,Motorola Solutions,3,666.75,"manager (3), solutions (89), product (127), motorola (2,448)",2
8368,HVAC Mechanic/Technician,Jetson,28,666.75,"technician (28), mechanic (230), hvac (325), jetson (2,084)",2
8369,Banquet Team Lead,Coast Hotels,52,666.8,"lead (52), team (100), coast (264), hotels (783), banquet (2,135)",2
8370,Packaging Operator,Labatt Breweries of Canada,11,667.2,"canada (11), operator (256), packaging (773), labatt (1,038), breweries (1,258)",4
8371,"Developmental Pediatrician, Child Development and Rehabilitation Program (CDR) - BC Childrenâs Hospital/Sunny Hill Health Centre for Children",Provincial Health Services Authority,0,667.21,"health (0), authority (1), services (7), hospital (8), and (13), development (33), provincial (37), centre (43), program (104), childrenâ (168), for (170), rehabilitation (241), child (328), children (547), hill (849), developmental (1,070), sunny (1,098), pediatrician (1,607), cdr (6,353)",2
8372,MRI Technologist (Contractor),Prenuvo,64,667.25,"technologist (64), prenuvo (760), mri (897), contractor (948)",2
8373,Senior Security Engineer,NEARSOURCE TECHNOLOGIES,6,667.4,"senior (6), engineer (9), security (90), technologies (138), nearsource (3,094)",2
8374,"Specialized Outreach Worker, Part-Time (11hrs)",Taproot Community Support Services,7,667.6,"services (7), time (30), community (35), worker (47), part (58), support (63), outreach (388), specialized (888), taproot (1,622), hrs (3,538)",2
8375,"Representative, People Strategies",Fraser Health Authority,0,667.67,"health (0), authority (1), fraser (2), representative (56), people (468), strategies (3,479)",2
8376,Line Cook,Olive Garden,166,667.75,"line (166), cook (169), garden (656), olive (1,680)",2
8377,Vice President Regulatory Affairs Quality Assurance,Donald's Fine Foods,180,667.78,"quality (180), foods (212), assurance (267), vice (375), president (382), affairs (776), regulatory (854), fine (901), donald (2,063)",2
8378,Animal Care Technician,Aspect Biosystems,15,667.8,"care (15), technician (28), animal (1,005), biosystems (1,093), aspect (1,198)",2
8379,"Senior Designer, Circularity - Advanced Concepts",Arc'teryx Equipment,6,668.12,"senior (6), designer (111), equipment (162), arc (326), teryx (332), advanced (563), concepts (777), circularity (3,068)",2
8380,Construction Site Manager / Site Superintendent,STO Building Group,3,668.14,"manager (3), group (20), construction (72), building (184), site (198), superintendent (327), sto (3,873)",2
8381,Intermediate Regulatory Specialist,True Environmental,24,668.2,"specialist (24), intermediate (148), environmental (204), regulatory (854), true (2,111)",2
8382,Photo Lab Specialist,London Drugs,24,668.2,"specialist (24), london (187), drugs (194), lab (321), photo (2,615)",4
8383,Construction Foreman - Concrete,Lafarge Canada,11,668.4,"canada (11), construction (72), foreman (796), concrete (1,069), lafarge (1,394)",1
8384,Teacher on Call,Regent Christian Academy,105,668.6,"teacher (105), call (276), academy (412), christian (972), regent (1,578)",1
8385,Office and Human Resources Administrator,Cressey Development Group,13,668.62,"and (13), group (20), development (33), administrator (139), office (149), resources (156), human (273), cressey (4,566)",2
8386,Senior Software Developer for Web Application Firewall,Fortinet,6,668.75,"senior (6), software (21), developer (53), for (170), fortinet (284), web (285), application (439), firewall (4,092)",2
8387,"Senior Accountant, Tax",ACCA Careers,6,668.8,"senior (6), accountant (189), tax (221), careers (1,174), acca (1,754)",4
8388,construction project coordinator,Eyco Building Group Ltd.,20,668.86,"group (20), ltd (23), coordinator (31), project (42), construction (72), building (184), eyco (4,310)",2
8389,Linux Kernel Engineer - Ubuntu,Canonical,9,669.0,"engineer (9), canonical (157), linux (595), ubuntu (784), kernel (1,800)",2
8390,"Manager, Internal Communications",Xenon Pharmaceuticals Inc.,3,669.0,"manager (3), inc (17), communications (213), internal (281), pharmaceuticals (1,579), xenon (1,921)",2
8391,School Counsellor (0.5 FTE)- Star of the Sea Elementary School,Catholic Independent Schools Vancouver Archdiocese (CISVA),4,669.08,"vancouver (4), school (46), the (61), elementary (191), schools (195), independent (258), archdiocese (294), catholic (304), cisva (306), counsellor (316), fte (1,504), star (2,495), sea (2,724)",2
8392,Graduate Legal Counsel - Tech Sector,Canonical,157,669.33,"canonical (157), legal (202), tech (283), counsel (689), graduate (1,128), sector (1,557)",1
8393,"Regional Manager, Trade Development (Contract)",Breakthru Beverage Group,3,669.38,"manager (3), group (20), development (33), contract (121), regional (238), trade (558), beverage (642), breakthru (3,740)",2
8394,"Health, Safety & Environment Coordinator - (Paramedic)",EllisDon,0,669.5,"health (0), coordinator (31), safety (183), environment (1,011), ellisdon (1,229), paramedic (1,563)",2
8395,bookkeeper,EMEC Engineering Group,20,669.5,"group (20), engineering (71), bookkeeper (458), emec (2,129)",2
8396,Principal Software Developer- MLOps Platform,Autodesk,21,669.5,"software (21), developer (53), principal (205), platform (404), autodesk (454), mlops (2,880)",2
8397,Postdoctoral Research Fellow,The University of British Columbia,55,669.57,"university (55), the (61), columbia (66), british (75), research (167), fellow (1,964), postdoctoral (2,299)",4
8398,"Kg - Gr. 7 Music Teacher (PT) - St. Patrick's Elementary School, Maple Ridge",Catholic Independent Schools Vancouver Archdiocese (CISVA),4,669.62,"vancouver (4), school (46), teacher (105), ridge (123), elementary (191), schools (195), independent (258), maple (288), archdiocese (294), catholic (304), cisva (306), music (844), patrick (5,747)",1
8399,Customer Advice Specialist - Coquitlam Branch,Coast Capital Savings,24,669.75,"specialist (24), customer (102), coast (264), coquitlam (271), capital (348), branch (359), savings (1,161), advice (2,829)",2
8400,Magnetic Resonance Imaging (MRI)/Computed Tomography Technologist,Vancouver Coastal Health,0,669.8,"health (0), vancouver (4), coastal (12), technologist (64), imaging (391), computed (584), tomography (585), mri (897), resonance (1,832), magnetic (2,329)",2
8401,Wholesale Marine Insurance Broker,HUB International,178,670.0,"insurance (178), international (257), marine (322), hub (761), broker (1,225), wholesale (1,277)",1
8402,Pharmacy Assistant -PT,Safeway Canada,11,670.0,"canada (11), assistant (14), pharmacy (146), safeway (2,509)",3
8403,Instrumentation Engineering Co op,Cytiva,71,670.33,"engineering (71), instrumentation (827), cytiva (1,113)",1
8404,"shift supervisor - Store# 04849, BRIDGEPORT & NO 3 ROAD",Starbucks,29,670.33,"supervisor (29), store (32), starbucks (73), shift (94), road (1,121), bridgeport (2,673)",2
8405,"Instructor, Interior Design Certificate and Diploma (Flexible Learning)",BCIT Computing,13,670.4,"and (13), learning (144), design (154), instructor (289), computing (385), bcit (395), diploma (739), interior (919), flexible (1,240), certificate (2,426)",2
8406,Electrical CAD drafter/designer,AECOM,111,670.4,"designer (111), electrical (137), aecom (653), cad (1,074), drafter (1,377)",2
8407,Strata Property Manager,Red Door Management Corp.,3,670.43,"manager (3), management (76), property (217), corp (448), red (502), door (648), strata (2,799)",1
8408,Registered Nurse,International SOS,5,670.5,"nurse (5), registered (10), international (257), sos (2,410)",4
8409,Experienced Contaminated Sites Specialist,WSP in Canada,11,670.5,"canada (11), specialist (24), wsp (114), experienced (504), sites (1,341), contaminated (2,029)",6
8410,"Principal, Commercial Property Management and Leasing",BGO,13,670.57,"and (13), management (76), commercial (176), principal (205), property (217), leasing (684), bgo (3,323)",2
8411,Drainage Engineer - Kiewit Infrastructure Engineers,Kiewit,9,670.6,"engineer (9), infrastructure (260), kiewit (544), engineers (699), drainage (1,841)",2
8412,AVP Business Development - Payments,Peoples Group,20,670.83,"group (20), development (33), business (54), payments (721), peoples (801), avp (2,396)",2
8413,Physiotherapist - West Vancouver (Join the founding team),Myo,4,670.88,"vancouver (4), the (61), team (100), west (152), physiotherapist (161), myo (631), founding (2,046), join (2,212)",2
8414,food testing supervisor,The Juice Truck,29,671.17,"supervisor (29), the (61), food (95), truck (279), testing (922), juice (2,641)",2
8415,Staff Software Engineer,Ping Identity,9,671.2,"engineer (9), software (21), staff (190), identity (896), ping (2,240)",4
8416,Office Secretary - St. Francis Xavier Elementary,Catholic Independent Schools Vancouver Archdiocese (CISVA),4,671.27,"vancouver (4), office (149), elementary (191), schools (195), independent (258), archdiocese (294), catholic (304), cisva (306), secretary (1,344), francis (1,842), xavier (2,497)",2
8417,Mechanical Designer,Advanced Cyclotron Systems Inc.,17,671.33,"inc (17), systems (92), designer (111), mechanical (153), advanced (563), cyclotron (3,092)",2
8418,Growth Product Designer,Pixieset,111,671.5,"designer (111), product (127), growth (575), pixieset (1,873)",2
8419,"Mental Health Nurse (RN/RPN), Community Mental Health and Substance Use - Raven Song CHC",Vancouver Coastal Health,0,671.69,"health (0), vancouver (4), nurse (5), coastal (12), and (13), community (35), mental (65), rpn (86), use (96), substance (97), raven (1,689), song (2,070), chc (4,560)",2
8420,"Psychologist B (Clinical Psychology) - Neuropsychiatry Department, UBC Hospital",Vancouver Coastal Health,0,671.7,"health (0), vancouver (4), hospital (8), coastal (12), clinical (79), department (303), psychologist (556), ubc (821), psychology (1,219), neuropsychiatry (3,715)",2
8421,Customer Service Rep. Retail,Belron Canada inc,11,672.0,"canada (11), inc (17), service (38), retail (70), customer (102), rep (867), belron (3,599)",2
8422,Assistant Store Manager - North Vancouver,GARDENWORKS Canada,3,672.0,"manager (3), vancouver (4), canada (11), assistant (14), store (32), north (117), gardenworks (4,523)",2
8423,"barista - Store# 00147, VALLEY FAIR MALL",Starbucks,32,672.17,"store (32), starbucks (73), barista (150), valley (619), mall (1,500), fair (1,659)",2
8424,Revenue Operations Manager,Benevity,3,672.25,"manager (3), operations (88), benevity (1,080), revenue (1,518)",2
8425,Full Time Sales Representative Koodo | Willowbrook,TELUS,16,672.29,"sales (16), time (30), full (51), representative (56), telus (234), willowbrook (1,561), koodo (2,758)",2
8426,Regional Hospitality Manager,Baptist Housing,3,672.4,"manager (3), regional (238), housing (248), baptist (1,271), hospitality (1,602)",2
8427,"Software Developer, React Native",Clio - Cloud-Based Legal Technology,21,672.56,"software (21), developer (53), technology (109), cloud (188), legal (202), based (211), clio (425), react (1,535), native (3,309)",2
8428,long haul truck driver,Acme Transport Ltd.,23,672.57,"ltd (23), long (177), driver (266), truck (279), transport (447), haul (680), acme (2,836)",2
8429,Fire Alarm Technician,Community Fire Prevention,28,672.6,"technician (28), community (35), fire (441), prevention (665), alarm (2,194)",2
8430,Product Operations Manager,Spare,3,672.75,"manager (3), operations (88), product (127), spare (2,473)",2
8431,OfficierÂ·Ã¨re du gÃ©nie Ã©lectronique et des communications,Canadian Armed Forces | Forces armÃ©es canadiennes,59,672.8,"canadian (59), forces (82), armed (83), armã (84), canadiennes (85), communications (213), des (307), officierâ (678), nie (1,674), lectronique (3,463)",2
8432,Retail Order Services Representative (8-Month Contract),Eminence Organic Skin Care,7,673.0,"services (7), care (15), representative (56), retail (70), contract (121), month (214), skin (1,003), order (1,120), organic (1,780), eminence (2,344)",2
8433,"Water, Fuels and Environment Technician",Canadian Armed Forces | Forces armÃ©es canadiennes,13,673.1,"and (13), technician (28), canadian (59), forces (82), armed (83), armã (84), canadiennes (85), water (315), environment (1,011), fuels (4,971)",3
8434,Sales and Design Consultant,Rentokil Initial,13,673.17,"and (13), sales (16), consultant (74), design (154), rentokil (1,846), initial (1,936)",2
8435,CAREGiver for Seniors,Home Instead,118,673.2,"home (118), for (170), caregiver (717), seniors (886), instead (1,475)",2
8436,Regular Team Member,Michaels Stores,100,673.4,"team (100), member (265), stores (778), regular (787), michaels (1,437)",2
8437,"Sr Specialist, Large Complex & Specialty Claims",Definity,24,673.5,"specialist (24), specialty (133), claims (387), complex (534), large (1,405), definity (1,558)",1
8438,"Senior Manager, ESG Reporting Advisory",Deloitte,3,673.5,"manager (3), senior (6), deloitte (219), advisory (543), reporting (663), esg (2,607)",2
8439,"Obstetrical Infectious Disease Specialist, Oak Tree Clinic - BC Womenâs Hospital + Health Centre",BC Women's Hospital and Health Centre,0,673.62,"health (0), hospital (8), and (13), specialist (24), centre (43), clinic (132), women (287), womenâ (299), disease (655), tree (697), oak (715), infectious (2,059), obstetrical (3,825)",2
8440,Senior Sales Operations Coordinator,roomvu,6,673.8,"senior (6), sales (16), coordinator (31), operations (88), roomvu (3,228)",2
8441,Senior Cost Estimator,R good construction ltd,6,673.83,"senior (6), ltd (23), construction (72), estimator (363), cost (838), good (2,741)",2
8442,administrative assistant,Glen Traffic,14,674.0,"assistant (14), administrative (99), traffic (755), glen (1,828)",2
8443,"Sustainable Bio-based Materials, Technical Business Analyst",The University of British Columbia,44,674.18,"analyst (44), business (54), university (55), the (61), columbia (66), british (75), technical (124), based (211), materials (329), sustainable (2,110), bio (4,287)",2
8444,Sushi Chef - JOEY Burrard,JOEY Restaurant Group,20,674.33,"group (20), restaurant (130), chef (345), joey (516), burrard (1,223), sushi (1,812)",1
8445,Family Practice Maternity Provider - Obstetrics/Gynecology,Vancouver Coastal Health,0,674.33,"health (0), vancouver (4), coastal (12), family (36), practice (141), maternity (894), gynecology (998), obstetrics (1,581), provider (2,403)",2
8446,Cantonese Speaking Caregiver,Just Like Family Home Care Canada,11,674.44,"canada (11), care (15), family (36), home (118), caregiver (717), speaking (817), cantonese (1,254), just (1,300), like (1,802)",1
8447,Occupational Therapist - WSBC Services | Surrey Newton and/or Panorama,Back in Motion Rehab Inc.,7,674.5,"services (7), and (13), inc (17), surrey (45), therapist (69), occupational (135), motion (492), rehab (498), back (536), newton (1,006), panorama (2,307), wsbc (2,969)",2
8448,"Physiatrist-Neuromotor Disorders, Division of Developmental Pediatrics - BC Childrenâs Hospital/Sunny Hill Health Centre for Children, University of British Columbia",Provincial Health Services Authority,0,674.55,"health (0), authority (1), services (7), hospital (8), provincial (37), centre (43), university (55), columbia (66), british (75), division (155), childrenâ (168), for (170), pediatrics (463), children (547), disorders (747), hill (849), developmental (1,070), sunny (1,098), physiatrist (3,824), neuromotor (4,108)",2
8449,"In Room Dining / Pool Server, Full time, Seasonal (September 30)",Fairmont Hotels & Resorts,30,674.55,"time (30), full (51), server (247), room (263), seasonal (286), pool (436), hotels (783), resorts (974), fairmont (990), september (1,295), dining (2,065)",2
8450,long haul truck driver,SUPERSONIC TRANSPORT LTD,23,674.57,"ltd (23), long (177), driver (266), truck (279), transport (447), haul (680), supersonic (2,850)",2
8451,Physician Lead â Academic Planning Committee,Fraser Health Authority,0,674.75,"health (0), authority (1), fraser (2), lead (52), physician (140), planning (236), academic (1,905), committee (3,062)",2
8452,Plumbing Supervisor,MyGreat Recruitment Inc.,17,674.8,"inc (17), supervisor (29), recruitment (192), plumbing (588), mygreat (2,548)",2
8453,Financial and Budget Analyst B010-25,Legal Aid BC,13,674.83,"and (13), analyst (44), financial (67), legal (202), aid (1,469), budget (2,254)",2
8454,Sales Associate (Go Dodge Surrey),Go Auto,16,675.0,"sales (16), associate (18), surrey (45), auto (193), dodge (3,103)",2
8455,"In Room Dining / Pool Server Part Time, Seasonal (September 30)",Fairmont Hotels & Resorts,30,675.18,"time (30), part (58), server (247), room (263), seasonal (286), pool (436), hotels (783), resorts (974), fairmont (990), september (1,295), dining (2,065)",2
8456,Civil Superintendent,MyGreat Recruitment Inc.,17,675.2,"inc (17), recruitment (192), civil (292), superintendent (327), mygreat (2,548)",2
8457,"Manager, Clinical Services/Program Operations â Alouette Correctional Centre for Women (ACCW), Maple Ridge BC - Correctional Health Services",Provincial Health Services Authority,0,675.25,"health (0), authority (1), manager (3), services (7), provincial (37), centre (43), clinical (79), operations (88), program (104), ridge (123), for (170), women (287), maple (288), correctional (887), alouette (3,486), accw (5,201)",2
8458,Service administrator,Williams Machinery,38,675.25,"service (38), administrator (139), williams (1,091), machinery (1,433)",2
8459,Field Archaeologist (Field Based),ERM,128,675.25,"field (128), based (211), erm (907), archaeologist (1,455)",2
8460,Electronic Instrument Control Technician 1,Vancouver Coastal Health,0,675.29,"health (0), vancouver (4), coastal (12), technician (28), control (240), electronic (300), instrument (4,143)",2
8461,Senior Continuous Improvement Engineer (Hybrid),Kardium Inc.,6,675.29,"senior (6), engineer (9), inc (17), hybrid (227), kardium (358), improvement (1,184), continuous (2,926)",2
8462,Dealership Accountant (Go North Surrey GM),Go Auto,45,675.4,"surrey (45), north (117), accountant (189), auto (193), dealership (2,833)",2
8463,Principal Managing Partner,Workday,205,675.75,"principal (205), partner (402), workday (746), managing (1,350)",2
8464,"National Corporate Account Manager, Quick Service Restaurants",Ecolab,3,675.75,"manager (3), service (38), account (93), corporate (297), national (445), restaurants (596), quick (1,826), ecolab (2,108)",2
8465,Backend Engineer,LayerZero Labs,9,676.0,"engineer (9), labs (564), backend (719), layerzero (1,412)",2
8466,ESL Teacher - LCI Language School,LCI Education,46,676.0,"school (46), teacher (105), education (246), language (282), esl (1,379), lci (1,998)",2
8467,Automotive Claims Adjuster,LGM Financial Services,7,676.17,"services (7), financial (67), automotive (360), claims (387), adjuster (1,052), lgm (2,184)",2
8468,"Senior Incident Response Specialist, Bangkok Based (Relocation Provided)",Agoda,6,676.22,"senior (6), specialist (24), based (211), relocation (517), agoda (550), provided (551), response (555), bangkok (566), incident (3,106)",2
8469,"Retail Sales Associate, Metropolis at Metrotown",Bell,16,676.33,"sales (16), associate (18), retail (70), metrotown (603), metropolis (804), bell (2,547)",2
8470,Lead Java Developer,HCLTech,52,676.5,"lead (52), developer (53), java (594), hcltech (2,007)",2
8471,Chaplain,Canadian Armed Forces | Forces armÃ©es canadiennes,59,676.67,"canadian (59), forces (82), armed (83), armã (84), canadiennes (85), chaplain (3,667)",3
8472,Frontend Software Engineer,Kabam,9,676.75,"engineer (9), software (21), frontend (825), kabam (1,852)",2
8473,05612 Inside Sales,Sally Beauty,16,676.75,"sales (16), inside (347), beauty (364), sally (1,980)",1
8474,"Family Practitioner, Surrey Pretrial Service Centre - BC Mental Health & Substance Use Services (BCMHSUS)",Provincial Health Services Authority,0,676.79,"health (0), authority (1), services (7), family (36), provincial (37), service (38), practitioner (40), centre (43), surrey (45), mental (65), use (96), substance (97), pretrial (2,153), bcmhsus (6,817)",2
8475,Visual Content & Brand Designer,FLiiP,111,676.8,"designer (111), brand (302), content (473), visual (624), fliip (1,874)",2
8476,DYNAMITE - Stylist - Pacific Centre,Groupe Dynamite,43,677.2,"centre (43), pacific (251), stylist (723), groupe (1,079), dynamite (1,290)",2
8477,"Lead, Threat Detection and Response",ITjobs.ca,13,677.33,"and (13), lead (52), itjobs (107), response (555), threat (1,345), detection (1,992)",2
8478,Software Engineering Manager - Sustaining Engineering,Canonical,3,677.6,"manager (3), software (21), engineering (71), canonical (157), sustaining (3,136)",2
8479,"Consultant, Physician Assessment & Application Management",The Health Employers Association of BC (HEABC),0,677.7,"health (0), the (61), consultant (74), management (76), physician (140), application (439), assessment (466), association (673), employers (1,604), heabc (3,244)",2
8480,Corporate Accountant,Goldbeck Recruiting,189,677.75,"accountant (189), corporate (297), recruiting (638), goldbeck (1,587)",2
8481,"Kitchen Leader - LOCAL Public Eatery, Gastown",LOCAL Public Eatery,206,677.83,"leader (206), public (215), kitchen (228), local (523), eatery (609), gastown (2,286)",1
8482,Administration Clerk,Inland Truck & Equipment,143,678.2,"clerk (143), equipment (162), truck (279), administration (529), inland (2,278)",2
8483,retail merchandiser,Devrew Merchandising Inc.,17,678.2,"inc (17), retail (70), merchandiser (369), merchandising (650), devrew (2,285)",10
8484,Inbound Sales Representative,Prenuvo,16,678.25,"sales (16), representative (56), prenuvo (760), inbound (1,881)",2
8485,Junior Geotechnical Engineer,AtkinsRÃ©alis,9,678.6,"engineer (9), junior (252), geotechnical (1,034), atkinsrã (1,042), alis (1,056)",2
8486,Operations Customer Service Representative,Intelcom | Dragonfly,38,678.67,"service (38), representative (56), operations (88), customer (102), dragonfly (1,893), intelcom (1,895)",4
8487,Maintenance Supervisor,Wonderbrands,29,678.67,"supervisor (29), maintenance (129), wonderbrands (1,878)",2
8488,"Indigenous Concurrent Disorders Counsellor, Surrey Pretrial Services Centre (SPSC), Surrey BC - Correctional Health Services",Provincial Health Services Authority,0,678.69,"health (0), authority (1), services (7), provincial (37), centre (43), surrey (45), indigenous (314), counsellor (316), disorders (747), correctional (887), concurrent (1,446), pretrial (2,153), spsc (2,827)",2
8489,Pediatric Ophthalmologist - BC Childrenâs Hospital,Provincial Health Services Authority,0,678.75,"health (0), authority (1), services (7), hospital (8), provincial (37), childrenâ (168), pediatric (249), ophthalmologist (4,960)",2
8490,"Registered Massage Therapist, Full Time (Maternity Leave coverage)",Accor,10,679.0,"registered (10), time (30), full (51), therapist (69), massage (590), maternity (894), accor (1,124), leave (1,237), coverage (2,106)",2
8491,sales analyst,STUDY2020,16,679.0,"sales (16), analyst (44), study (1,977)",2
8492,administrative assistant,DTI Transport LTD,14,679.0,"assistant (14), ltd (23), administrative (99), transport (447), dti (2,812)",2
8493,Research Associate in Personalized Cancer Vaccines,The University of British Columbia,18,679.0,"associate (18), university (55), the (61), columbia (66), british (75), cancer (163), research (167), personalized (1,511), vaccines (3,995)",2
8494,RN Critical Care - Post Anaesthesia Recovery Unit (PACU) - SPH,Providence Health Care,0,679.2,"health (0), care (15), unit (49), providence (186), critical (269), post (434), recovery (693), pacu (861), anaesthesia (1,794), sph (2,491)",2
8495,sales supervisor,Smart N Save Canada Holdings,11,679.33,"canada (11), sales (16), supervisor (29), save (392), smart (1,386), holdings (2,242)",2
8496,"Superintendent, Substation",Aecon Group Inc.,17,679.4,"inc (17), group (20), superintendent (327), aecon (1,236), substation (1,797)",1
8497,Associate/Senior Associate Transaction Services,Baker Tilly Canada,6,679.57,"senior (6), services (7), canada (11), associate (18), baker (733), tilly (1,774), transaction (2,208)",2
8498,"Associate/Senior Associate, Transaction Services",Baker Tilly Canada,6,679.57,"senior (6), services (7), canada (11), associate (18), baker (733), tilly (1,774), transaction (2,208)",2
8499,Named Account Manager-Enterprise,Fortinet,3,679.6,"manager (3), account (93), enterprise (261), fortinet (284), named (2,757)",2
8500,Clinical Nurse Educator,SRx Health Solutions,0,679.67,"health (0), nurse (5), clinical (79), solutions (89), educator (399), srx (3,506)",2
8501,Cook 2,Seasons Retirement Communities,169,679.75,"cook (169), retirement (384), communities (939), seasons (1,227)",1
8502,Cook 1,Seasons Retirement Communities,169,679.75,"cook (169), retirement (384), communities (939), seasons (1,227)",1
8503,long haul truck driver,Lalli Bros Express Ltd.,23,679.75,"ltd (23), long (177), driver (266), truck (279), haul (680), express (752), bros (782), lalli (2,479)",2
8504,General Manager ARC & In Room Dining,Fairmont Hotels & Resorts,3,679.75,"manager (3), general (34), room (263), arc (326), hotels (783), resorts (974), fairmont (990), dining (2,065)",2
8505,GARAGE - Sales Assistant Manager - Metropolis at Metrotown,Groupe Dynamite,3,679.88,"manager (3), assistant (14), sales (16), metrotown (603), metropolis (804), groupe (1,079), dynamite (1,290), garage (1,630)",2
8506,Sales Trainee,Red Bull,16,680.0,"sales (16), red (502), trainee (539), bull (1,663)",2
8507,"Detail Designer I, Structural",Seaspan ULC,111,680.0,"designer (111), ulc (396), seaspan (424), structural (428), detail (2,041)",2
8508,Paralegal - Contracts,Real Time Networks,30,680.0,"time (30), real (301), networks (606), paralegal (1,060), contracts (1,403)",2
8509,Small Business Relationship Manager,Beem Credit Union,3,680.0,"manager (3), business (54), union (346), credit (438), relationship (898), small (1,273), beem (1,748)",2
8510,Cell Biology Assistant (Cell line inventory and database management),ITjobs.ca,13,680.11,"and (13), assistant (14), management (76), itjobs (107), line (166), biology (671), inventory (789), database (1,309), cell (2,976)",2
8511,Enterprise Account Manager - Freelancer.com,Freelancer.com,3,680.2,"manager (3), account (93), enterprise (261), com (1,287), freelancer (1,757)",2
8512,Principal Architect - Large Model and Training System Performance Optimization,Huawei Canada,11,680.36,"canada (11), and (13), training (201), principal (205), architect (223), system (405), performance (636), huawei (759), large (1,405), optimization (1,451), model (2,175)",2
8513,Project Scheduler - Surrey Langley SkyTrain Project,Transportation Investment Corporation,42,680.38,"project (42), surrey (45), langley (125), corporation (126), investment (343), transportation (427), scheduler (1,167), skytrain (3,168)",2
8514,Real Estate Associate (Mid-Level),Norton Rose Fulbright,18,680.5,"associate (18), level (237), estate (295), real (301), mid (617), rose (1,222), norton (1,365), fulbright (1,389)",2
8515,Trades 2 - Secure Access Tech,The University of British Columbia,55,680.5,"university (55), the (61), columbia (66), british (75), tech (283), access (349), trades (1,256), secure (3,299)",2
8516,Senior Manager - Cross Border Tax,Baker Tilly Canada,3,680.5,"manager (3), senior (6), canada (11), tax (221), baker (733), cross (847), tilly (1,774), border (1,849)",1
8517,"Design Manager â Transportation, APD - Regional",Stantec,3,680.5,"manager (3), design (154), stantec (235), regional (238), transportation (427), apd (3,026)",1
8518,Auxiliary Trades Support,BCIT Computing,63,680.6,"support (63), computing (385), bcit (395), trades (1,256), auxiliary (1,304)",2
8519,Technical Inside Sales,E.B. Horsman & Son,16,680.6,"sales (16), technical (124), inside (347), son (1,246), horsman (1,670)",2
8520,Client Service Representative,LMG Inc.,17,680.6,"inc (17), service (38), representative (56), client (174), lmg (3,118)",2
8521,"Manager, Software Development",PayByPhone,3,680.75,"manager (3), software (21), development (33), paybyphone (2,666)",2
